Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
New Hampshire,238,,55,,10,,14,,,,55,,14
New Hampshire,231,,47,12,10,,11,,,,46,11,21
New Hampshire,260,,52,,,,19,,,,53,14,19
New Hampshire,236,,51,,,,19,,,,54,13,21
New Hampshire,281,,67,,11,,20,10,,,44,18,14
New Hampshire,225,,48,,13,,,,,,52,14,17
New Hampshire,249,,56,,,,11,,,12,52,16,12
New Hampshire,262,,53,10,,,16,,,,52,10,13
New Hampshire,261,,54,,11,,13,,,,64,22,10
New Hampshire,289,,62,,13,,17,,,,74,12,10
New Hampshire,295,,64,,,,14,,,,86,13,10
New Hampshire,245,,59,,10,,10,,,,52,10,18
New Hampshire,318,,59,10,10,,17,,,,72,14,20
New Hampshire,230,,46,,,,15,,,,53,,21
New Hampshire,268,0,52,11,15,,18,,,,56,12,19
New Hampshire,280,,62,,,,18,,,12,69,14,16
New Hampshire,248,,55,,,,14,,,,49,11,13
New Hampshire,278,,63,,15,,13,,,17,63,13,13
New Hampshire,266,,60,,12,,17,,,13,55,,17
New Hampshire,248,,53,,,0,13,,,12,61,,
New Hampshire,238,,49,,,,14,,,15,54,16,
New Hampshire,247,,40,13,,,16,,,15,58,12,10
New Hampshire,264,,55,,12,,13,,,17,60,16,
New Hampshire,257,0,50,,,,15,,,12,67,14,
New Hampshire,223,,40,,,,12,,,,56,10,
New Jersey,1480,41,321,30,42,25,65,53,35,26,419,68,0
New Jersey,1484,38,317,44,51,37,70,40,32,21,394,66,0
New Jersey,1395,43,310,35,38,36,72,49,35,19,365,76,0
New Jersey,1455,39,310,47,52,34,64,39,36,20,392,86,0
New Jersey,1419,46,302,43,54,29,59,40,30,27,349,64,0
New Jersey,1382,30,300,36,48,26,58,43,41,21,371,80,0
New Jersey,1382,50,320,39,46,28,69,38,36,21,358,73,0
New Jersey,1387,45,300,35,52,31,71,59,22,19,381,64,0
New Jersey,1466,46,311,43,56,36,62,48,29,27,378,85,0
New Jersey,1395,43,307,42,40,38,60,43,29,18,379,74,0
New Jersey,1365,38,280,40,45,34,53,38,27,34,389,75,
New Jersey,1521,40,306,44,48,41,65,43,57,25,384,85,39
New Jersey,2001,62,287,48,67,80,72,68,34,29,467,70,301
New Jersey,3375,61,327,101,100,102,105,71,46,56,550,108,1262
New Jersey,4671,60,323,96,122,125,115,90,46,64,629,104,2381
New Jersey,4629,45,343,105,127,81,96,58,46,41,591,92,2520
New Jersey,3871,50,268,86,101,73,101,63,42,31,524,77,2058
New Jersey,3070,48,297,66,81,59,66,49,29,32,417,72,1557
New Jersey,2476,34,285,62,67,39,51,46,32,33,394,54,1126
New Jersey,2196,40,268,50,61,34,57,38,34,27,408,90,827
New Jersey,1819,27,292,42,48,29,48,30,26,18,381,73,556
New Jersey,1613,37,265,43,49,31,49,34,21,21,316,68,396
New Jersey,1470,24,251,40,47,20,47,30,28,22,355,44,317
New Jersey,1371,27,277,36,35,17,47,30,29,19,330,54,221
New Jersey,1297,38,282,32,37,23,43,32,28,19,332,54,162
New Jersey,1338,34,280,40,40,18,52,32,29,16,332,65,143
New Jersey,1285,33,293,46,31,16,57,31,32,20,338,57,103
New Jersey,1238,28,260,31,39,11,42,28,18,18,326,65,86
New Jersey,1225,34,294,32,47,23,38,17,31,18,306,64,61
New Jersey,1263,33,294,38,43,23,31,25,26,16,327,54,66
New Jersey,1271,32,296,34,42,14,33,39,29,20,341,63,63
New Jersey,1224,44,291,26,32,28,46,40,25,22,305,77,36
New Jersey,1193,24,268,46,53,20,43,29,29,28,302,50,45
New Jersey,1221,46,282,29,37,17,49,39,26,17,333,55,36
New Jersey,1204,29,296,45,37,15,45,26,25,13,329,63,33
New Jersey,1269,29,278,47,37,21,50,29,38,17,347,51,32
New Jersey,1290,38,323,40,44,18,41,36,33,17,322,63,35
New Jersey,1263,30,279,40,34,19,46,18,33,24,330,80,35
New Jersey,1292,40,291,38,35,11,53,37,34,24,338,80,32
New Jersey,1213,33,273,33,33,21,49,31,31,19,306,80,34
New Jersey,1284,31,291,51,50,32,46,34,28,25,294,67,54
New Jersey,1226,38,256,34,38,15,41,53,25,21,325,58,58
New Jersey,1366,39,311,36,58,22,46,37,29,19,321,60,72
New Jersey,1341,37,274,35,49,14,59,38,27,17,369,50,82
New Jersey,1448,47,340,50,35,21,54,30,28,32,347,73,93
New Jersey,1516,42,328,43,44,27,56,41,33,15,370,54,181
New Jersey,1549,49,327,41,40,20,51,39,31,20,345,63,229
New Jersey,1589,40,257,55,45,18,55,33,27,27,378,67,313
New Jersey,1799,49,301,49,45,17,46,38,38,17,388,57,454
New Jersey,1907,32,317,54,59,28,50,39,33,18,390,74,495
New Jersey,2001,58,310,54,59,23,51,51,31,36,405,100,531
New Jersey,1971,42,273,61,54,23,61,48,31,27,405,82,560
New Jersey,2081,34,307,64,57,31,57,45,41,20,426,95,650
New Jersey,1933,44,269,53,47,34,38,37,39,22,409,74,551
New Jersey,2042,42,295,56,57,30,61,39,42,24,404,80,606
New Jersey,1882,40,259,35,61,27,56,41,31,17,359,92,570
New Jersey,1908,45,286,49,64,30,48,39,40,16,421,56,523
New Jersey,1919,44,283,54,60,24,36,41,38,24,415,80,473
New Jersey,1748,48,289,39,52,22,41,40,39,20,393,85,372
New Jersey,1705,51,309,47,47,20,43,36,43,17,389,70,330
New Jersey,1668,35,302,39,53,21,56,37,39,23,378,77,303
New Jersey,1580,42,273,47,53,35,35,34,41,22,383,84,232
New Jersey,1472,53,276,32,50,21,47,39,29,19,335,74,229
New Jersey,1549,41,310,37,63,24,44,46,20,24,339,62,247
New Jersey,1513,37,287,34,51,14,49,40,38,25,369,54,237
New Jersey,1466,32,269,46,36,24,47,31,34,22,341,67,231
New Jersey,1569,50,271,36,56,24,49,29,44,32,336,74,269
New Jersey,1480,33,275,28,42,22,46,26,27,18,352,76,259
New Jersey,1546,34,312,46,53,18,47,48,31,19,320,69,237
New Jersey,1535,49,299,34,49,26,36,39,28,25,371,76,201
New Jersey,1383,40,272,38,42,23,39,45,24,19,352,78,173
New Jersey,1362,29,305,35,39,16,47,31,23,22,341,66,138
New Jersey,1340,28,302,28,37,14,45,43,43,22,341,67,88
New Jersey,1216,34,265,25,42,15,47,36,28,17,298,64,90
New Jersey,1312,31,321,32,35,16,48,32,34,21,364,69,51
New Jersey,1209,35,267,41,55,21,32,22,26,20,324,74,26
New Jersey,1228,36,267,37,27,13,51,32,23,21,346,70,49
New Jersey,1262,42,319,29,38,16,44,38,31,19,318,60,25
New Jersey,1235,24,303,31,37,16,50,31,28,20,325,65,35
New Jersey,1254,30,268,36,49,12,41,30,34,31,340,68,27
New Jersey,1190,32,265,38,35,17,53,35,27,21,327,65,31
New Jersey,1257,35,298,37,41,16,58,25,30,25,291,56,28
New Jersey,1248,34,279,48,28,18,50,30,26,17,342,66,33
New Jersey,1266,34,311,32,32,20,50,30,24,17,315,50,40
New Jersey,1305,46,284,42,48,16,49,25,32,24,314,70,76
New Jersey,1324,35,306,46,35,22,49,32,32,22,321,70,91
New Jersey,1368,33,282,25,44,27,46,34,22,29,377,60,105
New Jersey,1375,38,308,39,35,23,28,29,22,26,358,81,118
New Jersey,1400,38,310,34,44,25,40,19,29,27,348,68,123
New Jersey,1468,45,315,28,42,27,49,32,26,32,345,75,137
New Jersey,1425,39,288,41,41,23,50,37,33,31,331,76,154
New Jersey,1369,29,317,39,43,23,47,36,35,20,300,67,130
New Jersey,1460,50,319,37,47,27,48,32,27,20,317,89,130
New Jersey,1415,50,305,41,29,16,56,42,23,26,332,73,121
New Jersey,1397,46,298,42,48,22,43,36,28,27,331,60,116
New Jersey,1455,43,305,39,49,24,54,37,31,30,336,77,107
New Jersey,1497,41,309,41,53,30,49,36,37,35,400,75,104
New Jersey,1448,36,295,36,59,25,55,39,24,12,360,64,89
New Jersey,1377,37,299,28,52,20,43,37,30,19,351,50,81
New Jersey,1503,40,306,41,58,22,52,36,32,31,379,81,87
New Jersey,1527,34,300,41,60,27,54,45,53,27,363,72,112
New Jersey,1539,32,291,40,44,26,52,42,26,26,399,89,143
New Jersey,1620,50,287,43,51,24,64,47,36,30,390,95,179
New Jersey,1646,43,333,37,42,24,48,44,36,32,404,80,205
New Jersey,1842,34,287,72,47,24,62,43,38,32,420,75,380
New Jersey,2188,59,298,55,53,34,75,41,51,27,488,71,658
New Jersey,2396,45,300,71,70,24,68,48,34,21,500,74,810
New Jersey,2321,41,332,69,74,25,70,54,39,31,471,79,767
New Jersey,2053,47,309,45,70,24,55,40,41,23,418,90,605
New Jersey,1817,30,276,46,64,34,60,44,39,25,390,84,440
New Jersey,1653,42,299,42,69,29,40,41,37,22,369,96,263
New Jersey,1557,42,297,44,46,15,58,29,43,24,413,78,183
New Jersey,1428,29,287,44,48,22,41,38,36,26,360,73,111
New Jersey,1445,42,288,48,33,19,44,42,35,20,366,93,70
New Jersey,1376,40,313,35,26,17,47,26,42,23,353,83,70
New Jersey,1319,44,297,46,47,16,51,44,29,23,343,54,42
New Jersey,1327,37,280,37,46,12,45,29,47,20,358,76,41
New Jersey,1273,28,303,49,56,15,40,17,35,26,328,69,26
New Jersey,1301,38,278,39,40,25,60,42,27,22,355,59,31
New Jersey,1289,45,298,38,47,26,44,35,21,27,338,73,32
New Jersey,1241,34,279,38,38,23,48,34,31,14,314,77,46
New Jersey,1244,29,272,44,34,17,60,27,26,21,328,61,41
New Jersey,1272,34,281,33,32,18,47,33,42,24,345,55,55
New Jersey,1326,32,263,31,37,11,36,30,32,28,386,56,59
New Jersey,1380,46,313,33,41,16,56,23,36,26,327,62,74
New Jersey,1335,26,307,45,39,24,62,35,22,28,326,60,71
New Jersey,1252,47,274,30,39,21,61,30,24,16,323,56,59
New Jersey,1269,43,267,38,44,12,43,24,43,27,333,56,66
New Jersey,1324,40,274,47,35,24,61,33,22,20,349,60,41
New Jersey,1201,37,264,34,29,12,49,33,29,29,314,52,44
New Jersey,1344,41,285,46,52,22,41,28,33,31,329,70,51
New Jersey,1244,33,261,34,34,22,30,27,40,17,363,48,51
New Jersey,1307,36,289,36,34,20,42,37,23,37,343,66,67
New Jersey,1335,31,302,47,40,20,53,27,33,36,322,70,69
New Jersey,1310,24,294,26,44,15,47,37,18,29,358,65,68
New Jersey,1300,45,271,48,45,13,47,33,25,25,352,60,53
New Jersey,1253,37,280,27,30,14,43,28,39,27,338,50,63
New Jersey,1273,40,289,26,40,16,37,39,33,35,303,72,61
New Jersey,1288,27,306,35,42,13,39,44,27,36,304,63,56
New Jersey,1266,36,312,26,34,18,42,35,27,32,308,63,55
New Jersey,1351,39,316,35,44,22,46,30,41,30,341,70,60
New Jersey,1284,36,304,31,35,16,46,35,30,31,322,55,49
New Jersey,1349,51,278,37,38,23,51,29,46,29,334,84,55
New Jersey,1304,29,284,43,40,18,54,33,42,33,319,74,59
New Jersey,1402,36,340,40,53,21,44,35,32,33,323,75,58
New Jersey,1419,55,304,30,50,18,45,41,33,32,360,73,76
New Jersey,1347,39,273,25,40,21,55,27,41,35,345,67,63
New Jersey,1345,39,276,40,43,26,43,50,34,33,334,73,59
New Jersey,1403,52,300,43,48,27,45,40,33,43,335,65,67
New Jersey,1376,31,283,32,39,30,53,44,29,40,330,71,77
New Jersey,1434,36,286,35,45,25,71,38,31,49,360,82,67
New Jersey,1481,42,285,47,40,32,53,53,38,50,378,68,76
New Jersey,1540,49,308,44,51,35,79,37,37,86,344,69,53
New Jersey,1543,44,270,38,54,40,62,51,28,83,415,73,88
New Jersey,1609,41,326,35,46,36,65,44,36,87,385,80,87
New Jersey,1573,40,309,44,50,32,55,58,39,77,384,64,93
New Jersey,1674,39,316,49,48,41,74,50,42,83,410,83,112
New Jersey,1574,40,315,42,54,36,67,47,44,77,345,77,102
New Jersey,1502,35,299,32,50,33,54,48,33,84,336,63,116
New Jersey,1478,48,268,33,60,19,50,47,36,91,330,76,94
New Jersey,1499,47,281,36,42,26,54,55,35,83,355,70,101
New Jersey,1433,39,279,36,35,26,59,31,41,83,338,81,69
New Jersey,1464,32,307,38,55,14,41,36,30,104,343,65,85
New Jersey,1428,30,284,37,47,18,51,36,32,92,357,69,60
New Jersey,1428,47,285,25,42,17,39,39,40,113,357,69,72
New Jersey,1403,37,293,33,40,16,58,40,30,104,336,54,48
New Jersey,1424,41,315,29,33,21,46,26,28,103,370,61,38
New Jersey,1448,42,276,37,44,24,58,27,32,89,368,51,59
New Jersey,1316,44,279,37,30,18,59,33,34,81,320,70,33
New Jersey,1186,38,230,33,44,18,49,36,27,76,312,51,18
New Mexico,358,,63,15,14,17,18,,,,98,25,0
New Mexico,365,,66,16,10,14,45,,,,86,13,0
New Mexico,337,,61,14,12,11,27,,,0,89,,0
New Mexico,367,,76,10,11,17,24,,,,88,18,0
New Mexico,322,,61,11,,12,21,12,,,74,21,0
New Mexico,315,,77,16,,,25,,,,68,15,0
New Mexico,337,,75,19,11,16,20,10,,,72,15,0
New Mexico,338,,67,13,11,,25,,,0,87,20,0
New Mexico,355,,61,,17,,31,,11,,103,19,0
New Mexico,358,,61,19,14,11,21,,13,,94,23,0
New Mexico,296,,54,14,13,,19,,,,79,12,0
New Mexico,349,,61,15,10,13,25,,,,82,14,0
New Mexico,320,,60,18,14,,26,,,,86,12,
New Mexico,360,,68,16,12,,31,11,,,79,13,
New Mexico,377,,66,,20,,28,,,,91,18,23
New Mexico,379,,76,17,17,,21,,,,74,21,35
New Mexico,362,,67,20,,,18,,,,73,16,48
New Mexico,371,,54,11,11,,13,,,,82,15,77
New Mexico,387,,57,19,14,,16,,,,96,19,69
New Mexico,410,,72,18,12,,19,,12,,79,15,68
New Mexico,349,,70,16,10,,25,11,,,55,13,44
New Mexico,379,,63,17,,,16,,,0,97,18,55
New Mexico,381,,68,18,14,,20,,,,85,16,37
New Mexico,396,,69,10,13,,26,,11,,85,18,36
New Mexico,357,,59,16,,,25,,,,86,11,32
New Mexico,343,,62,,14,,14,,12,,81,19,21
New Mexico,397,,93,15,13,,23,,,,87,16,28
New Mexico,364,,75,17,15,,23,,,,85,18,29
New Mexico,332,,62,,16,,20,,,,64,15,32
New Mexico,382,,53,16,17,,15,,,,73,19,50
New Mexico,354,,70,18,17,,14,,,,71,20,44
New Mexico,382,,67,17,21,,16,,,,88,17,28
New Mexico,347,,70,19,12,,17,,,,67,17,21
New Mexico,343,,64,20,12,,19,,,,84,12,21
New Mexico,349,,80,19,17,,17,,,,72,17,19
New Mexico,304,0,61,,17,,17,,,,55,17,11
New Mexico,347,,60,18,13,,13,,,,81,21,
New Mexico,332,,75,16,15,,12,,,,70,19,10
New Mexico,358,,86,10,12,,20,,,,75,25,12
New Mexico,338,,64,18,18,,14,,,,68,19,17
New Mexico,355,,68,18,14,,24,,,,76,13,16
New Mexico,348,,90,12,16,,16,,,0,82,15,21
New Mexico,384,,81,19,11,11,19,,,,75,15,51
New Mexico,407,,65,12,11,,18,,,,76,14,76
New Mexico,467,,66,11,16,10,29,,,,66,23,133
New Mexico,514,,53,17,16,,24,,,,81,14,185
New Mexico,530,,82,12,11,,25,,,,72,14,190
New Mexico,549,,65,11,14,,26,,,,76,20,211
New Mexico,606,,78,16,15,,22,,,,80,17,256
New Mexico,629,,62,23,15,,34,,,,94,21,280
New Mexico,610,,68,14,18,12,17,,,,94,21,244
New Mexico,570,,70,13,18,,26,,,0,79,20,199
New Mexico,557,,68,16,18,,23,,,,102,12,190
New Mexico,534,,69,22,10,,11,,,,102,12,192
New Mexico,487,,49,16,,,24,,,,90,16,178
New Mexico,491,,77,16,12,,20,,,,83,17,152
New Mexico,430,0,69,17,10,,17,,,,83,19,110
New Mexico,412,,65,11,,,15,,,,82,17,112
New Mexico,411,,69,18,10,,24,,12,,69,28,83
New Mexico,375,,55,15,10,,15,,,,86,12,67
New Mexico,410,,83,10,13,,22,,,,69,25,54
New Mexico,410,,86,11,14,,16,,,,86,15,51
New Mexico,355,,70,18,,,22,,,,81,16,33
New Mexico,399,,82,23,10,,28,,,,72,14,28
New Mexico,379,,73,10,13,,23,,,,78,,28
New Mexico,383,,74,12,14,10,13,,,,91,13,26
New Mexico,365,,74,,14,,21,10,,,77,17,16
New Mexico,361,,63,19,16,,17,,,,83,17,16
New Mexico,354,,65,13,15,,16,,,,86,20,16
New Mexico,338,,69,11,,,21,10,,,79,13,15
New Mexico,356,,76,19,21,,14,,,,71,,13
New Mexico,375,,92,18,15,,13,,,,75,25,16
New Mexico,354,,79,11,11,,17,11,0,,71,19,22
New Mexico,354,,63,12,16,,25,,,,75,17,25
New Mexico,349,,73,13,,,22,,,,70,17,11
New Mexico,297,,69,13,,,18,,,,55,22,10
New Mexico,352,,75,12,,,26,,13,,65,11,21
New Mexico,347,,71,11,10,,25,,,0,72,17,17
New Mexico,349,,53,19,10,,22,12,,,66,19,14
New Mexico,329,,63,15,,,14,,,,76,16,11
New Mexico,344,,77,16,,,19,10,,,76,14,
New Mexico,335,,63,18,10,,22,,,,75,19,11
New Mexico,318,,75,16,,11,21,,,,65,17,12
New Mexico,336,,65,17,10,,21,,,,76,23,29
New Mexico,386,,67,18,10,,23,,,,66,13,48
New Mexico,401,,76,16,11,,16,,,,87,16,55
New Mexico,393,,59,13,,,16,,10,,68,21,82
New Mexico,398,,81,,,,17,,,,75,13,78
New Mexico,454,,91,21,14,,20,10,,,74,14,101
New Mexico,423,,87,13,20,,18,,,,56,18,82
New Mexico,401,,73,14,12,,19,,,,87,21,66
New Mexico,432,,62,22,15,,22,,,,85,21,75
New Mexico,401,,60,20,14,,16,,,,86,13,74
New Mexico,410,,66,15,15,,18,,,,85,19,72
New Mexico,438,,68,23,15,,18,,,,79,21,71
New Mexico,417,,74,12,10,,14,11,10,,79,15,81
New Mexico,505,,73,12,17,,18,10,13,,93,20,111
New Mexico,455,,63,19,13,,21,,,,77,20,123
New Mexico,493,,59,18,16,11,20,,,0,87,10,151
New Mexico,468,,62,16,14,,17,11,,,76,17,148
New Mexico,512,,77,20,14,,26,,,,68,25,159
New Mexico,600,,87,12,,,19,12,10,,110,23,199
New Mexico,533,,78,14,18,,16,12,11,,79,23,173
New Mexico,554,,81,20,16,,20,11,,,88,20,164
New Mexico,589,,89,21,,,23,,,,120,19,166
New Mexico,570,,69,22,17,,32,11,,,114,27,132
New Mexico,557,,76,18,19,,20,,,,97,26,154
New Mexico,523,,74,17,14,,23,,,,80,19,160
New Mexico,524,,62,20,10,,19,,,,123,17,170
New Mexico,486,,71,14,13,10,26,,,,73,23,142
New Mexico,491,0,74,19,,,33,12,,,110,22,113
New Mexico,422,,68,13,15,,25,,,,66,26,90
New Mexico,443,,64,15,14,,22,,,,89,23,74
New Mexico,431,,78,18,15,,23,,,,95,16,60
New Mexico,364,,64,17,14,,25,,12,,77,13,28
New Mexico,379,,72,15,15,,23,11,,,76,15,29
New Mexico,347,,73,14,10,,18,10,,,68,13,29
New Mexico,336,,72,14,14,,14,,,,70,14,20
New Mexico,323,,65,,,,25,,10,,82,24,13
New Mexico,352,,62,11,,,18,,11,,82,19,18
New Mexico,325,,73,,13,,17,,,,67,15,12
New Mexico,347,,54,11,17,,14,10,,,86,27,
New Mexico,380,,65,20,16,,32,11,,12,69,27,14
New Mexico,374,,63,16,25,,25,,10,,91,23,
New Mexico,333,,87,14,,,12,,,,70,19,
New Mexico,368,,78,11,14,10,20,,,,91,16,14
New Mexico,298,,62,17,,,16,,,,62,15,14
New Mexico,399,,73,16,19,,26,10,,,90,21,17
New Mexico,331,,50,17,,,16,,10,,72,16,18
New Mexico,348,,76,15,,,21,,,,81,18,23
New Mexico,316,,56,11,,,11,,,,72,14,27
New Mexico,348,,72,,10,,21,,,,68,20,24
New Mexico,324,,65,14,17,,20,,,,78,11,23
New Mexico,344,,60,15,15,,18,,,,75,17,30
New Mexico,331,,58,,16,,20,,11,,70,15,30
New Mexico,313,,60,15,11,,21,,,,84,12,14
New Mexico,359,,75,16,12,,18,,,,81,22,25
New Mexico,317,,63,15,14,,,,,,85,15,21
New Mexico,349,,64,20,17,,15,,,,80,23,14
New Mexico,325,,83,10,11,,15,,,,75,16,16
New Mexico,350,13,64,19,15,10,14,,,,83,22,15
New Mexico,330,,63,19,14,,17,,,,89,12,10
New Mexico,329,,53,22,11,,15,11,,,74,18,15
New Mexico,338,,72,13,11,,16,,,,65,22,18
New Mexico,323,,58,10,16,,22,,,,61,16,11
New Mexico,337,,55,13,19,,22,,,,64,19,13
New Mexico,355,,74,21,21,,22,,,,77,17,18
New Mexico,342,,69,18,18,,20,,,,86,16,19
New Mexico,360,,67,14,19,,21,,,,64,20,19
New Mexico,352,,75,23,15,,20,,,,79,16,21
New Mexico,394,,67,24,18,10,22,,11,12,81,20,24
New Mexico,382,,57,18,15,,29,15,,,97,14,39
New Mexico,416,,69,13,18,17,21,,,16,95,25,34
New Mexico,422,,54,18,16,18,31,,,,105,17,31
New Mexico,421,,76,15,12,16,15,17,,13,77,11,41
New Mexico,483,10,73,22,17,14,36,10,13,11,108,23,28
New Mexico,410,,62,20,13,19,33,14,,13,87,19,29
New Mexico,405,,72,19,15,12,18,,,17,95,13,27
New Mexico,411,,70,20,13,14,19,,,13,95,16,24
New Mexico,393,,87,12,12,,21,,,38,83,10,10
New Mexico,373,0,76,16,15,10,20,,0,30,66,19,21
New Mexico,382,,70,22,,,30,11,,21,77,16,14
New Mexico,341,,79,14,11,,,,,33,67,16,11
New Mexico,360,,52,13,,11,20,11,,25,80,30,
New Mexico,368,,66,13,13,10,19,,,33,86,19,
New Mexico,345,,43,19,12,,25,,,46,68,20,
New Mexico,334,,63,,,,17,,,29,70,18,10
New Mexico,313,,62,,16,,18,11,,27,67,14,
New Mexico,291,,52,,11,,15,,,43,63,18,
New Mexico,225,,43,,10,,,,,23,43,17,
New York,2019,22,414,60,75,86,128,51,29,33,543,79,0
New York,1970,23,411,60,60,63,135,48,43,34,530,82,0
New York,2034,26,423,49,63,67,124,44,45,24,583,92,0
New York,1884,31,416,61,38,60,97,55,51,36,497,79,
New York,1913,27,399,57,45,52,114,50,38,41,508,89,0
New York,1930,28,412,52,49,61,108,53,37,32,549,77,
New York,1840,16,389,57,50,61,99,43,47,32,537,71,
New York,1925,23,432,58,58,71,128,42,40,30,475,83,
New York,2019,29,444,50,57,66,107,45,43,34,576,62,0
New York,1910,36,380,60,58,71,106,36,40,29,515,91,0
New York,1848,15,396,44,52,66,117,43,37,22,475,77,
New York,1982,29,402,60,65,83,102,51,46,52,479,90,44
New York,2394,39,413,73,75,91,146,56,38,28,554,78,306
New York,3640,30,439,99,85,141,133,45,51,41,768,93,1141
New York,4527,21,428,96,61,116,135,40,45,26,908,96,2033
New York,4320,22,370,83,68,99,127,44,37,34,797,88,2037
New York,3611,21,388,80,60,74,97,43,47,27,615,79,1604
New York,2998,22,406,66,56,60,93,26,28,15,560,85,1144
New York,2626,23,344,69,54,39,85,33,31,23,549,81,882
New York,2359,15,383,72,50,38,79,32,40,25,502,80,676
New York,2095,24,369,65,43,49,82,37,28,29,467,57,462
New York,1958,19,370,69,44,36,79,30,34,30,477,63,334
New York,1810,17,399,36,39,33,65,37,41,25,411,80,264
New York,1753,28,362,57,45,33,67,39,29,32,446,64,181
New York,1747,32,400,46,56,36,81,38,30,32,447,80,128
New York,1759,21,388,49,40,39,71,32,35,21,474,86,78
New York,1723,14,390,53,35,38,78,38,36,24,442,69,61
New York,1743,17,407,55,42,31,89,29,32,29,473,77,64
New York,1700,27,382,55,39,38,73,27,28,23,463,61,59
New York,1679,18,419,58,49,29,80,28,39,22,427,69,46
New York,1731,18,438,43,41,32,102,31,28,22,447,66,41
New York,1727,22,419,53,44,32,79,44,25,31,444,81,33
New York,1662,18,393,56,40,30,77,25,29,29,432,78,39
New York,1713,19,418,51,43,26,79,28,35,23,441,81,33
New York,1656,21,417,60,43,25,75,35,32,34,420,90,25
New York,1650,13,402,47,38,24,69,49,37,34,446,61,29
New York,1661,22,423,56,42,25,69,38,34,21,415,79,27
New York,1715,18,424,55,47,34,73,38,32,25,488,61,24
New York,1914,30,456,64,50,32,79,38,32,26,505,90,21
New York,1832,24,415,53,54,42,79,36,36,26,480,82,51
New York,1938,22,455,64,40,32,74,48,44,31,501,79,51
New York,1788,17,408,48,58,29,63,45,29,27,472,99,59
New York,1770,17,391,53,47,25,62,34,29,24,463,70,69
New York,1878,22,405,62,43,42,78,40,33,26,545,80,91
New York,1998,23,452,51,52,45,88,40,41,24,515,90,94
New York,1947,25,400,65,42,41,83,36,37,33,502,74,166
New York,2027,16,391,62,48,38,91,50,40,43,482,88,219
New York,2163,18,389,75,53,40,91,42,41,20,508,72,343
New York,2282,32,365,72,56,33,90,39,36,33,542,77,412
New York,2501,22,436,70,55,35,82,52,48,24,522,83,599
New York,2630,26,392,74,45,38,90,38,41,15,561,88,774
New York,2796,24,425,60,60,43,91,32,47,30,559,93,844
New York,2765,23,400,77,69,40,72,47,28,18,557,75,899
New York,2906,18,342,83,52,62,86,43,39,38,534,92,1044
New York,3017,24,417,57,66,54,91,67,45,41,552,84,1063
New York,2829,24,385,69,61,56,75,36,31,33,524,69,975
New York,2697,17,415,77,48,44,85,45,49,26,570,81,847
New York,2695,24,418,79,55,49,94,37,39,32,575,85,782
New York,2360,31,374,54,48,29,72,40,44,25,504,94,627
New York,2318,32,370,65,61,41,83,33,39,29,542,91,506
New York,2200,28,410,79,48,34,87,35,38,32,499,79,378
New York,2047,22,385,73,44,35,80,36,31,22,450,92,320
New York,2026,30,408,60,41,44,78,38,41,30,462,90,268
New York,1947,23,393,65,53,41,71,45,31,26,486,76,253
New York,1968,31,382,39,63,29,109,46,23,26,492,86,232
New York,1836,18,410,45,45,30,79,37,31,25,424,93,208
New York,1953,13,369,55,46,36,82,36,38,34,503,90,215
New York,1877,17,414,42,38,37,74,32,38,23,431,89,232
New York,1906,20,417,52,49,35,75,39,36,22,445,73,230
New York,1897,24,410,42,32,41,71,39,40,37,474,96,164
New York,1807,18,427,56,44,34,81,32,28,27,418,86,162
New York,1767,20,367,62,42,32,76,38,37,40,467,82,113
New York,1861,24,419,52,44,37,71,38,36,34,493,87,112
New York,1779,21,390,62,37,30,92,30,37,36,433,97,99
New York,1806,26,416,53,35,35,72,36,28,32,485,87,80
New York,1725,22,420,64,38,31,81,38,22,28,442,62,67
New York,1668,18,391,39,43,23,68,45,30,33,434,69,42
New York,1689,22,374,54,39,33,91,31,21,49,449,79,52
New York,1728,18,415,53,35,35,59,45,31,40,463,63,26
New York,1745,27,435,50,32,35,79,36,33,26,462,82,29
New York,1695,28,389,42,46,39,86,42,33,43,452,76,24
New York,1778,30,375,69,42,27,84,51,34,40,469,85,26
New York,1738,22,382,49,51,42,79,37,39,33,469,76,35
New York,1873,33,430,49,44,42,87,38,43,29,471,92,43
New York,1926,27,444,59,45,43,111,37,39,47,486,69,81
New York,1810,17,425,54,33,42,104,35,25,37,411,87,120
New York,1897,25,399,58,46,43,81,40,26,25,511,83,142
New York,1838,24,387,51,37,25,72,32,36,41,441,79,167
New York,1955,31,399,47,36,49,75,46,32,43,497,82,170
New York,2062,25,425,68,48,51,85,60,33,39,465,73,221
New York,1942,18,391,57,47,41,89,48,27,36,458,63,211
New York,2080,31,422,62,38,32,92,52,30,47,519,86,223
New York,2157,40,476,60,43,44,95,48,30,44,507,109,209
